,AwayScore,BreakTimeDuration,ConsolidationStatus,EffectiveDuration,EffectiveInjuryTime,EndTimeUTC,HomeScore,IndexInMatch,IndexInType,InjuryTime,LeftTeamID,MatchID,MatchPhaseGuid,RegularDuration,StartTimeUTC,Status,Type
284,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:04.6030000,00:00:04.6030000,2017-09-26T19:30:06.932Z,2,1,1,,57490,2021603,61edb9c9-df83-440d-b060-95a2f6f26e03,00:45:00,2017-09-26T18:45:02.329Z,['Completed'],Regular
285,0,00:15:14.0670000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:01.6730000,00:03:01.6730000,2017-09-26T20:33:22.672Z,3,2,2,00:03:00,52714,2021603,3a539c2c-df2a-48c1-999d-5b497d4f3260,00:45:00,2017-09-26T19:45:20.999Z,"['Current', 'Completed']",Regular
286,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:14.2660000,00:00:14.2660000,2017-09-26T19:31:13.488Z,1,1,1,,7889,2021604,317b8f3a-037c-4688-bfd6-f06067181d66,00:45:00,2017-09-26T18:45:59.222Z,['Completed'],Regular
287,1,00:16:27.2860000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:53:35.8080000,00:08:35.8080000,2017-09-26T20:41:16.582Z,1,2,2,00:08:00,50068,2021604,d03292c1-7b67-4d23-88f5-6d1af1db1db2,00:45:00,2017-09-26T19:47:40.774Z,"['Current', 'Completed']",Regular
288,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:06.0830000,00:00:06.0830000,2017-09-26T19:30:06.199Z,1,1,1,,50136,2021605,ced42056-6ab6-49f9-a2ed-b4081b7ecef3,00:45:00,2017-09-26T18:45:00.116Z,['Completed'],Regular
289,1,00:15:33.0870000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:12.5310000,00:03:12.5310000,2017-09-26T20:33:51.817Z,3,2,2,00:03:00,52749,2021605,45059227-1426-467d-bec7-02fc09605c5d,00:45:00,2017-09-26T19:45:39.286Z,"['Current', 'Completed']",Regular
290,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:02.7600000,00:01:02.7600000,2017-09-26T19:32:16.168Z,0,1,1,00:01:00,52919,2021606,f553f7d3-6254-4cd0-9ed1-9bb23b29fdf0,00:45:00,2017-09-26T18:46:13.408Z,['Completed'],Regular
291,0,00:16:10.1270000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:02.1070000,00:04:02.1070000,2017-09-26T20:37:28.402Z,2,2,2,00:04:00,52707,2021606,8a22eee3-cc39-4a9e-b8ac-771f1eeb0693,00:45:00,2017-09-26T19:48:26.295Z,"['Current', 'Completed']",Regular
292,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:01.9980000,00:02:01.9980000,2017-09-26T19:32:59.682Z,2,1,1,00:02:00,50157,2021607,fed73026-041d-480a-888d-ebe49f02efb7,00:45:00,2017-09-26T18:45:57.684Z,['Completed'],Regular
293,0,00:15:12.7580000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:05.2400000,00:03:05.2400000,2017-09-26T20:46:24.964Z,2,2,2,00:02:00,2603790,2021607,2ade2197-1fa2-43d9-aa4b-e305942a34aa,00:45:00,2017-09-26T19:48:20.804Z,"['Current', 'Completed']",Regular
294,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:02.3330000,00:01:02.3330000,2017-09-26T19:33:02.015Z,0,1,1,00:01:00,50064,2021608,2b4dfe1e-6c58-4421-b361-ecec0eca8dd6,00:45:00,2017-09-26T18:46:59.682Z,['Completed'],Regular
295,3,00:16:50.8740000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:02.0380000,00:04:02.0380000,2017-09-26T20:38:54.927Z,0,2,2,00:04:00,50023,2021608,1341be3b-ad1e-4708-a53a-d4ee9d197017,00:45:00,2017-09-26T19:49:52.889Z,"['Current', 'Completed']",Regular
296,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:10.7810000,00:01:10.7810000,2017-09-26T19:31:53.308Z,0,1,1,00:01:00,50051,2021609,5c88669c-1c5e-44a2-9031-2c7f273e630c,00:45:00,2017-09-26T18:45:42.527Z,['Completed'],Regular
297,3,00:16:39.4730000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:11.2260000,00:03:11.2260000,2017-09-26T20:36:44.007Z,1,2,2,00:03:00,52758,2021609,5718b635-d071-43dc-81b8-c9f4c9453e89,00:45:00,2017-09-26T19:48:32.781Z,"['Current', 'Completed']",Regular
298,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:04.2880000,00:00:04.2880000,2017-09-26T19:30:05.935Z,0,1,1,,1652,2021610,1b279bac-6b11-46dd-ab38-17019c62c087,00:45:00,2017-09-26T18:45:01.647Z,['Completed'],Regular
299,3,00:16:24.7770000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:07.8320000,00:03:07.8320000,2017-09-26T20:34:38.544Z,0,2,2,00:03:00,50118,2021610,70853146-cf2b-4178-85bc-733eaa63b181,00:45:00,2017-09-26T19:46:30.712Z,"['Current', 'Completed']",Regular
300,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:08.6780000,00:00:08.6780000,2017-09-27T19:30:40.636Z,2,1,1,,50147,2021611,af701244-362f-4314-b8cf-1ed698eb39cf,00:45:00,2017-09-27T18:45:31.958Z,['Completed'],Regular
301,0,00:15:11.9820000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:01.9150000,00:02:01.9150000,2017-09-27T20:32:54.533Z,5,2,2,00:02:00,59856,2021611,bbbbdb7c-e2a8-4e9b-8ae9-7dd436d96280,00:45:00,2017-09-27T19:45:52.618Z,"['Current', 'Completed']",Regular
302,3,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:03.4460000,00:00:03.4460000,2017-09-27T19:30:36.772Z,0,1,1,,52682,2021612,4ec8034f-b4ce-4085-b402-253cca081c2b,00:45:00,2017-09-27T18:45:33.326Z,['Completed'],Regular
303,4,00:17:16.6740000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:00.3820000,00:02:00.3820000,2017-09-27T20:34:53.828Z,1,2,2,00:02:00,54266,2021612,28f86c5c-81e3-4a03-9523-af625f6a4e5e,00:45:00,2017-09-27T19:47:53.446Z,"['Current', 'Completed']",Regular
304,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:45:35.1340000,00:00:35.1340000,2017-09-27T19:33:13.034Z,2,1,1,,50037,2021613,e01b3296-7ef2-4cac-82c0-4cedd0c86fe4,00:45:00,2017-09-27T18:47:37.9Z,['Completed'],Regular
305,0,00:16:49.4300000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:49:07.8260000,00:04:07.8260000,2017-09-27T20:39:10.29Z,3,2,2,00:03:00,52747,2021613,8d689fd4-c593-4d6c-a7be-0db6db2957e0,00:45:00,2017-09-27T19:50:02.464Z,"['Current', 'Completed']",Regular
306,1,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:07.9300000,00:02:07.9300000,2017-09-27T19:32:39.888Z,0,1,1,00:02:00,50074,2021614,acd19840-c7c9-4fa9-9cc3-1a943863260d,00:45:00,2017-09-27T18:45:31.958Z,['Completed'],Regular
307,3,00:15:33.2380000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:16.6420000,00:03:16.6420000,2017-09-27T20:36:29.768Z,0,2,2,00:03:00,50050,2021614,c0dc8e51-a4aa-47ae-b7cd-35a68b6716a0,00:45:00,2017-09-27T19:48:13.126Z,"['Current', 'Completed']",Regular
308,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:06.1270000,00:01:06.1270000,2017-09-27T19:31:15.025Z,1,1,1,00:01:00,52914,2021615,100c2457-3242-48a6-9329-3f0681a54f7e,00:45:00,2017-09-27T18:45:08.898Z,['Completed'],Regular
309,2,00:15:56.2350000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:37.4580000,00:03:37.4580000,2017-09-27T20:35:48.718Z,1,2,2,00:03:00,50124,2021615,38bab222-dce1-43ff-9b53-c6f4f8adead8,00:45:00,2017-09-27T19:47:11.26Z,"['Current', 'Completed']",Regular
310,2,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:46:03.5130000,00:01:03.5130000,2017-09-27T16:46:05.592Z,1,1,1,00:01:00,50137,2021616,a6afec49-a18e-43f7-bcbc-55758730e97f,00:45:00,2017-09-27T16:00:02.079Z,['Completed'],Regular
311,2,00:15:42.7750000,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:48:09.1180000,00:03:09.1180000,2017-09-27T17:49:57.485Z,1,2,2,00:03:00,60609,2021616,22df0526-c38f-4415-a364-f067e76271ea,00:45:00,2017-09-27T17:01:48.367Z,"['Current', 'Completed']",Regular
312,0,,"['Lineups', 'PrimaryMarks', 'SecondaryMarks', 'AllMatch']",00:47:01.0110000,00:02:01.0110000,2017-09-27T19:32:53.236Z,0,1,1,00:02:00,50080,2021617,df1bdd80-66e4-4ce2-94cc-aa70a9dd8799,00:45:00,2017-09-27T18:45:52.225Z,['Completed'],Regular
