,Match_ID,Team_ID,Fouls,Yellow_Cards,Red_Cards
0,2019282,52747,10,3,1
1,2019282,52280,12,3,1
2,2019283,59856,26,1,0
3,2019283,2603104,17,2,0
4,2019284,52723,13,3,1
5,2019284,50136,17,1,0
6,2019285,50147,17,2,0
7,2019285,50157,11,2,0
8,2019286,50080,8,2,0
9,2019286,50050,3,1,0
10,2019287,52919,8,1,0
11,2019287,52757,14,1,0
12,2019288,50037,13,0,0
13,2019288,64500,12,0,0
14,2019289,50062,6,2,0
15,2019289,50124,10,2,0
16,2019290,50109,5,2,0
17,2019290,54266,11,0,0
18,2019291,1652,11,1,0
19,2019291,50023,4,2,0
20,2019292,50051,9,1,0
21,2019292,50149,14,3,0
22,2019293,50146,12,3,0
23,2019293,52758,9,1,0
24,2019294,50043,7,4,0
25,2019294,53577,10,2,0
26,2019295,50064,5,1,0
27,2019295,52709,11,2,1
28,2019296,5312,9,1,0
29,2019296,50164,7,3,0
30,2019297,50139,16,0,0
31,2019297,52714,22,3,0
32,2019298,50023,12,1,0
33,2019298,50109,15,2,0
34,2019299,54266,5,1,0
35,2019299,1652,6,1,0
36,2019300,52758,16,4,0
37,2019300,50051,11,1,0
38,2019301,50149,10,0,0
39,2019301,50146,16,3,0
40,2019302,52709,14,1,0
41,2019302,50043,14,3,0
42,2019303,53577,24,3,0
43,2019303,50064,16,3,0
44,2019304,52714,11,2,0
45,2019304,5312,24,3,0
46,2019305,50164,10,0,0
47,2019305,50139,13,0,0
48,2019306,2603104,9,3,0
49,2019306,52747,14,2,0
50,2019307,52280,4,0,0
51,2019307,59856,12,2,0
52,2019308,50157,18,2,0
53,2019308,52723,19,3,0
54,2019309,50136,7,1,0
55,2019309,50147,19,4,0
56,2019310,52757,8,0,0
57,2019310,50080,10,3,0
58,2019311,50050,8,0,0
59,2019311,52919,8,0,0
60,2019312,50124,13,1,0
61,2019312,50037,17,4,0
62,2019313,64500,15,2,0
63,2019313,50062,12,2,0
64,2019314,54266,14,1,0
65,2019314,50023,14,2,0
66,2019315,50109,15,2,0
67,2019315,1652,20,1,0
68,2019316,50149,10,4,0
69,2019316,52758,12,3,0
70,2019317,50051,10,1,0
71,2019317,50146,8,2,0
72,2019318,53577,8,1,0
73,2019318,52709,9,1,0
74,2019319,50043,14,2,0
75,2019319,50064,9,1,0
76,2019320,50164,16,2,0
77,2019320,52714,13,2,0
78,2019321,5312,15,5,0
79,2019321,50139,7,3,1
80,2019322,52280,12,0,0
81,2019322,2603104,5,0,0
82,2019323,52747,14,1,0
83,2019323,59856,18,2,0
84,2019324,50136,11,1,0
85,2019324,50157,16,3,0
86,2019325,52723,14,1,0
87,2019325,50147,15,1,0
88,2019326,50050,9,1,0
89,2019326,52757,7,1,0
90,2019327,50080,15,2,1
91,2019327,52919,17,3,1
92,2019328,64500,11,1,0
93,2019328,50124,6,2,0
94,2019329,50037,7,1,0
95,2019329,50062,5,0,0
96,2019330,2603104,10,1,0
97,2019330,52280,23,3,0
98,2019331,59856,14,3,1
99,2019331,52747,8,2,0
100,2019332,50157,8,2,0
