,Match_ID,Team_ID,Saves,Saves_Short,Saves_Medium,Saves_Long
343,2021633,50149,12,3,5,4
344,2021634,50080,1,1,0,0
345,2021634,2610,16,7,6,3
346,2021635,59856,4,2,1,1
347,2021635,54266,8,2,4,2
348,2021636,52682,9,6,1,2
349,2021636,50147,7,1,4,2
350,2021637,52747,3,2,1,0
351,2021637,50074,12,1,6,3
352,2021638,50050,2,0,0,0
353,2021638,50037,6,0,0,0
354,2021639,50124,3,2,0,1
355,2021639,60609,20,7,7,6
356,2021640,50137,10,6,2,1
357,2021640,52914,4,0,2,2
358,2021641,50149,10,2,5,3
359,2021641,50139,3,1,0,0
360,2021642,2610,15,3,7,4
361,2021642,50080,2,2,0,0
362,2021643,52714,7,4,2,1
363,2021643,50068,5,2,3,0
364,2021644,7889,2,1,1,0
365,2021644,57490,11,4,3,2
366,2021645,50136,9,3,4,2
367,2021645,52919,7,3,1,3
368,2021646,52707,7,2,4,1
369,2021646,52749,12,6,4,2
370,2021647,50157,7,6,1,0
371,2021647,50023,3,2,0,1
372,2021648,50064,5,1,1,2
373,2021648,2603790,3,2,1,0
374,2021649,52758,1,1,0,0
375,2021649,50118,19,7,5,4
376,2021650,1652,14,6,6,1
377,2021650,50051,6,2,3,1
378,2021651,50068,4,1,1,0
379,2021651,57490,3,0,2,0
380,2021652,52714,5,2,1,2
381,2021652,7889,4,2,1,1
382,2021653,52919,3,0,2,1
383,2021653,52749,4,3,0,0
384,2021654,50136,4,1,1,2
385,2021654,52707,9,2,4,3
386,2021655,50023,2,0,1,1
387,2021655,2603790,3,1,1,1
388,2021656,50157,4,3,1,0
389,2021656,50064,6,4,1,1
390,2021657,50118,6,2,3,1
391,2021657,50051,8,3,3,1
392,2021658,52758,7,4,2,1
393,2021658,1652,3,1,2,0
394,2021659,54266,9,4,5,0
395,2021659,50147,5,1,2,1
396,2021660,59856,6,1,4,1
397,2021660,52682,6,3,3,0
398,2021661,50074,9,3,4,1
399,2021661,50037,5,2,1,1
400,2021662,52747,2,0,1,1
401,2021662,50050,6,3,1,2
402,2021663,60609,9,3,4,1
403,2021663,52914,2,2,0,0
404,2021664,50124,5,3,1,0
405,2021664,50137,8,3,2,1
406,2021665,50139,4,2,0,0
407,2021665,50080,5,2,2,1
408,2021666,50149,4,2,1,0
409,2021666,2610,6,3,1,2
410,2021667,50147,2,0,2,0
411,2021667,59856,12,4,6,2
412,2021668,52682,3,1,2,0
413,2021668,54266,9,2,5,2
414,2021669,50037,9,4,2,3
415,2021669,52747,5,3,2,0
416,2021670,50050,6,3,1,2
417,2021670,50074,7,3,3,1
418,2021671,52914,6,2,3,0
419,2021671,50124,11,2,3,4
420,2021672,50137,2,2,0,0
421,2021672,60609,11,1,7,2
422,2021673,50080,3,3,0,0
423,2021673,50149,8,1,5,2
424,2021674,2610,4,1,2,1
425,2021674,50139,5,2,2,1
426,2021675,57490,14,6,7,1
427,2021675,52714,2,1,1,0
428,2021676,7889,9,5,2,1
429,2021676,50068,6,1,1,4
430,2021677,52749,4,2,1,1
431,2021677,50136,4,2,0,2
432,2021678,52707,4,1,3,0
433,2021678,52919,6,3,3,0
434,2021679,2603790,8,3,3,1
435,2021679,50157,15,7,7,1
436,2021680,50064,4,1,2,1
437,2021680,50023,7,3,2,2
438,2021681,50051,4,2,2,0
439,2021681,52758,12,8,3,1
440,2021682,1652,3,1,1,1
441,2021682,50118,12,4,5,2
442,2021683,50139,5,3,0,2
443,2021683,1652,5,2,1,1
444,2021684,59856,5,2,1,2
445,2021684,52919,5,3,0,2
446,2021685,52914,3,2,0,1
447,2021685,50080,3,2,0,1
448,2021686,50037,2,1,0,0
449,2021686,50157,16,6,5,3
450,2021687,50064,3,3,0,0
451,2021687,7889,4,0,2,2
452,2021688,52714,2,0,2,0
453,2021688,52682,16,4,7,4
454,2021689,50051,8,4,2,2
455,2021689,52747,10,1,5,3
456,2021690,52707,9,5,4,0
457,2021690,50137,9,4,3,1
458,2021691,50080,7,3,3,1
459,2021691,52914,4,1,1,2
460,2021692,50157,4,2,2,0
461,2021692,50037,9,2,5,2
462,2021693,1652,2,0,2,0
463,2021693,50139,13,4,8,1
464,2021694,52919,2,1,0,0
465,2021694,59856,6,0,4,2
466,2021695,52747,10,3,6,1
467,2021695,50051,4,1,1,2
468,2021696,50137,2,1,0,1
469,2021696,52707,5,2,2,1
470,2021697,7889,3,1,0,2
471,2021697,50064,7,4,3,0
472,2021698,52682,9,3,4,1
473,2021698,52714,8,1,7,0
474,2021699,50080,9,2,5,2
475,2021699,50137,11,5,3,2
476,2021700,52714,6,0,4,1
477,2021700,50037,4,1,1,2
478,2021701,50139,3,1,1,1
479,2021701,50051,6,1,3,2
480,2021702,7889,5,1,1,2
481,2021702,52919,4,3,1,0
482,2021703,50051,6,3,2,1
483,2021703,50139,10,5,3,2
484,2021704,52919,1,0,1,0
485,2021704,7889,14,4,6,3
486,2021705,50137,5,3,2,0
487,2021705,50080,5,3,2,0
488,2021706,50037,2,2,0,0
489,2021706,52714,7,0,6,1
490,2021707,7889,7,5,2,0
491,2021707,50137,10,3,5,2
492,2021708,50037,3,1,2,0
493,2021708,50051,8,3,2,2
494,2021709,50051,13,3,7,1
495,2021709,50037,2,0,1,1
496,2021710,50137,8,1,5,2
497,2021710,7889,6,2,1,3
498,2021711,50051,8,4,3,1
499,2021711,7889,3,1,1,1
500,2025053,50043,4,1,2,0
501,2025053,52758,6,3,1,1
502,2025054,50023,2,1,1,0
503,2025054,50124,1,1,0,0
504,2025055,50080,6,3,3,0
505,2025055,50062,8,4,2,3
506,2025056,50138,7,3,3,1
507,2025056,1652,8,5,0,3
508,2025057,7889,5,2,3,0
509,2025057,52747,9,3,3,2
510,2025058,50069,14,7,4,3
511,2025058,50136,5,2,0,2
512,2025059,50067,7,3,2,2
513,2025059,53065,9,4,3,2
514,2025060,57388,8,3,5,0
515,2025060,50064,4,1,0,3
516,2025061,50143,2,0,0,2
517,2025061,50129,8,4,2,2
518,2025062,50147,8,3,1,2
519,2025062,50037,8,3,1,3
520,2025063,52707,11,6,3,1
521,2025063,2600431,8,6,1,0
522,2025064,52919,5,4,1,0
523,2025064,5312,9,3,6,0
524,2025065,50051,6,1,2,3
525,2025065,50137,15,6,4,5
526,2025066,64388,8,3,3,1
527,2025066,54266,3,2,1,0
528,2025067,50031,8,4,2,1
529,2025067,52682,10,5,4,1
530,2025068,52268,5,2,3,0
531,2025068,50139,18,4,8,4
532,2025069,50037,9,6,2,1
533,2025069,50143,6,4,0,2
534,2025070,50129,5,2,2,0
535,2025070,50147,9,2,2,3
536,2025071,5312,7,4,0,2
537,2025071,52707,13,5,6,2
538,2025072,2600431,7,1,3,3
539,2025072,52919,2,1,1,0
540,2025073,54266,9,5,1,0
541,2025073,50051,5,2,1,1
542,2025074,50137,5,1,3,1
543,2025074,64388,12,6,3,2
544,2025075,50139,2,1,0,1
545,2025075,50031,10,3,5,1
546,2025076,52682,3,1,1,1
547,2025076,52268,13,4,6,3
548,2025077,50124,2,1,1,0
549,2025077,50043,4,2,2,0
550,2025078,52758,6,4,2,0
551,2025078,50023,4,0,2,2
552,2025079,1652,6,1,4,1
553,2025079,50080,7,5,2,0
554,2025080,50062,14,2,10,0
555,2025080,50138,7,3,3,1
556,2025081,50136,1,0,1,0
557,2025081,7889,6,3,3,0
558,2025082,52747,2,2,0,0
559,2025082,50069,15,7,5,2
560,2025083,50064,5,1,1,2
561,2025083,50067,8,2,6,0
562,2025084,53065,7,0,7,0
563,2025084,57388,8,2,5,1
564,2025085,50129,9,1,6,1
565,2025085,50037,1,1,0,0
566,2025086,50143,7,4,3,0
567,2025086,50147,12,3,6,2
568,2025087,2600431,6,3,3,0
569,2025087,5312,13,2,10,1
570,2025088,52707,9,3,4,2
571,2025088,52919,7,4,2,0
572,2025089,50137,9,2,3,4
573,2025089,54266,11,4,4,3
574,2025090,50051,2,1,1,0
575,2025090,64388,7,4,3,0
576,2025091,52682,6,0,2,1
577,2025091,50139,6,2,4,0
578,2025092,50031,2,1,1,0
579,2025092,52268,9,2,4,2
580,2025093,52758,7,4,2,1
581,2025093,50124,4,1,3,0
582,2025094,50043,5,0,5,0
583,2025094,50023,6,1,5,0
584,2025095,50062,14,7,5,1
585,2025095,1652,2,0,1,1
586,2025096,50080,5,1,2,2
587,2025096,50138,16,6,3,4
588,2025097,52747,4,2,2,0
589,2025097,50136,10,4,4,2
590,2025098,7889,0,0,0,0
591,2025098,50069,10,5,3,0
592,2025099,53065,3,2,1,0
593,2025099,50064,8,3,4,0
594,2025100,50067,14,6,5,3
595,2025100,57388,3,1,1,1
596,2025101,50124,2,0,1,1
597,2025101,52758,9,2,3,2
598,2025102,50023,3,2,1,0
599,2025102,50043,9,7,2,0
600,2025103,1652,6,0,2,3
601,2025103,50062,20,7,10,2
602,2025104,50138,14,6,7,1
603,2025104,50080,3,1,0,2
604,2025105,50136,6,2,2,1
605,2025105,52747,11,1,1,6
606,2025106,50069,12,5,4,2
607,2025106,7889,5,4,0,1
608,2025107,50064,8,3,4,1
609,2025107,53065,6,3,3,0
610,2025108,57388,4,1,3,0
611,2025108,50067,4,1,2,1
612,2025109,50037,2,0,1,0
613,2025109,50129,13,2,4,7
614,2025110,50147,5,1,2,2
615,2025110,50143,8,3,2,0
616,2025111,5312,9,1,3,4
617,2025111,2600431,19,6,9,2
618,2025112,52919,4,0,3,1
619,2025112,52707,6,2,3,1
620,2025113,54266,6,0,0,0
621,2025113,50137,8,0,0,0
622,2025114,64388,3,1,0,2
623,2025114,50051,8,2,5,1
624,2025115,50139,6,1,2,2
625,2025115,52682,11,4,2,5
626,2025116,52268,3,0,1,2
627,2025116,50031,3,2,1,0
628,2025117,50129,6,3,1,1
629,2025117,50143,3,1,0,2
630,2025118,50037,2,2,0,0
631,2025118,50147,6,1,2,2
632,2025119,2600431,6,0,3,1
633,2025119,52707,3,1,2,0
634,2025120,5312,9,4,1,3
635,2025120,52919,4,3,1,0
636,2025121,50137,7,2,4,1
637,2025121,50051,10,4,4,1
638,2025122,54266,10,3,3,1
639,2025122,64388,8,1,5,0
640,2025123,52682,7,0,6,1
641,2025123,50031,8,3,4,1
642,2025124,50139,4,3,0,0
643,2025124,52268,11,2,7,1
644,2025125,52758,1,0,1,0
645,2025125,50043,6,4,1,1
646,2025126,50124,7,2,4,1
647,2025126,50023,4,0,3,1
648,2025127,50062,10,5,4,0
649,2025127,50080,13,5,3,4
650,2025128,1652,5,0,5,0
651,2025128,50138,7,3,3,1
652,2025129,52747,3,0,3,0
653,2025129,7889,8,1,4,3
654,2025130,50136,4,2,2,0
655,2025130,50069,7,2,3,2
656,2025131,53065,9,3,4,1
657,2025131,50067,7,3,2,0
658,2025132,50064,2,1,1,0
659,2025132,57388,6,1,1,1
660,2025133,50043,5,1,3,1
661,2025133,50124,2,1,1,0
662,2025134,50023,5,0,1,1
663,2025134,52758,2,1,1,0
664,2025135,50080,12,7,2,1
665,2025135,1652,5,0,4,1
666,2025136,50138,4,1,1,2
667,2025136,50062,14,3,4,4
668,2025137,7889,3,3,0,0
669,2025137,50136,10,4,5,1
670,2025138,50069,6,3,3,0
671,2025138,52747,4,2,2,0
672,2025139,50067,0,0,0,0
673,2025139,50064,5,2,1,1
674,2025140,57388,4,0,3,1
675,2025140,53065,13,5,6,1
676,2025141,50143,8,5,2,1
677,2025141,50037,11,5,6,0
678,2025142,50147,2,0,2,0
679,2025142,50129,9,3,5,1
680,2025143,52707,6,2,1,0
681,2025143,5312,2,0,1,0
682,2025144,52919,6,2,2,2
683,2025144,2600431,12,6,4,2
684,2025145,50051,5,2,1,1
685,2025145,54266,16,5,5,3
686,2025146,64388,7,1,4,2
687,2025146,50137,5,3,2,0
688,2025147,50031,10,3,7,0
689,2025147,50139,3,0,3,0
690,2025148,52268,5,1,4,0
691,2025148,52682,5,3,1,1
