,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
494,2021709,50051,10,0,10,3,2,5,0,0
495,2021709,50037,13,3,10,2,6,5,2,1
496,2021710,50137,18,5,13,3,11,4,1,3
497,2021710,7889,13,3,10,3,3,7,0,0
498,2021711,50051,21,3,18,6,10,4,0,1
499,2021711,7889,12,7,5,3,6,3,1,1
500,2025053,50043,9,4,5,0,5,4,3,3
501,2025053,52758,14,4,10,4,9,1,0,0
502,2025054,50023,16,4,12,2,9,5,0,0
503,2025054,50124,14,2,12,5,4,5,2,0
504,2025055,50080,13,1,12,1,10,2,0,0
505,2025055,50062,11,1,10,3,3,5,2,0
506,2025056,50138,19,3,16,5,8,6,0,0
507,2025056,1652,15,3,12,4,8,3,0,1
508,2025057,7889,12,1,11,3,6,3,0,0
509,2025057,52747,15,1,14,4,8,3,0,0
510,2025058,50069,15,1,14,2,3,9,2,2
511,2025058,50136,10,2,8,3,7,0,1,0
512,2025059,50067,15,0,15,2,7,6,1,2
513,2025059,53065,15,2,13,3,7,5,0,0
514,2025060,57388,15,0,15,2,5,8,2,0
515,2025060,50064,15,1,14,3,6,5,0,0
516,2025061,50143,14,1,13,2,10,2,0,1
517,2025061,50129,19,6,13,1,6,12,0,0
518,2025062,50147,11,2,9,3,4,4,1,0
519,2025062,50037,10,0,10,1,4,5,1,1
520,2025063,52707,13,0,13,4,6,3,3,3
521,2025063,2600431,11,2,9,3,5,3,1,1
522,2025064,52919,16,1,15,2,11,3,1,0
523,2025064,5312,15,1,14,2,6,7,0,0
524,2025065,50051,7,3,4,1,6,0,0,0
525,2025065,50137,9,1,8,1,6,2,3,0
526,2025066,64388,19,1,18,2,3,14,1,2
527,2025066,54266,16,0,16,3,8,5,0,1
528,2025067,50031,9,2,7,2,4,3,0,1
529,2025067,52682,13,2,11,2,8,3,0,0
530,2025068,52268,11,2,9,2,5,4,1,0
531,2025068,50139,14,2,12,1,4,9,2,2
532,2025069,50037,19,1,18,4,13,2,2,3
533,2025069,50143,13,0,13,3,5,5,2,2
534,2025070,50129,9,0,9,1,4,4,2,2
535,2025070,50147,19,6,13,1,7,11,1,2
536,2025071,5312,17,1,16,2,15,0,1,0
537,2025071,52707,18,7,11,2,9,7,0,0
538,2025072,2600431,18,1,17,3,11,4,0,0
