field1,Knockout,OnTarget_%,Short_%,Succ_Ratio,OppTackles_Successful%,Opp_Aggressiveness,Opp_Saves/Shots,Opp_Shots_Blocked,Opp_Conceded_Corners,dummy_home,dummy_away,bad_weather,Win_Pr(),Btts_Pr(),Goals_Proxy
99,-0.704078472704922,0.9381645744333148,-1.1377094812752204,-0.765694511283155,-0.398141244474658,-0.6546536707079771,0.44332270082700265,0.6540597401845297,0.8180391039089898,1,-1,-0.3986732965110573,0.6737662028652996,0.5916712051410258,Low
22,-0.704078472704922,0.3552990867602105,-0.0724578386099721,-0.9381612547486055,-0.3617170393511802,1.5275252316519465,-0.4750994171792341,-0.046004201909003714,0.6530168062904617,1,-1,-0.3986732965110573,-1.169901507389405,-0.5448542779827277,Low
26,-0.704078472704922,-0.05481948665583481,-1.2836769075296424,-0.1990180684681033,-0.09217792143744108,-0.6546536707079771,-1.3231919135363455,-0.7460681440025372,-0.8321838722762922,1,-1,-0.3986732965110573,1.184905542265379,-0.42880258407514715,Low
150,-0.704078472704922,-1.277371682251233,-0.6387045589635922,1.614346548540062,1.6983319332752538,-0.6546536707079771,0.7039560045855296,1.5874783296425745,-0.007072384183651184,1,-1,-0.3986732965110573,1.2564802246257067,-1.1307871994309362,Low
163,-0.704078472704922,-0.8928878758103612,-1.5375333010155932,0.3449913166343465,-0.19999356860293632,-0.6546536707079771,-1.5515245087094136,-0.7460681440025372,-0.5021392770392358,1,-1,-0.3986732965110573,0.8675461016110956,0.5185468828898792,Low
3,-0.704078472704922,-0.05481948665583481,-1.2836769075296424,-0.1990180684681033,-0.8109489025407451,-0.6546536707079771,-0.2963123503796269,-0.512713496638026,0.983061401527518,1,-1,-0.3986732965110573,0.8675461016110956,-1.2044449601527631,Low
108,-0.704078472704922,-0.05481948665583481,-2.256793082559121,-0.43902220895447824,-0.04725473511848422,-0.6546536707079771,-0.7295271660863676,-0.7460681440025372,-0.9972061698948204,1,-1,-0.3986732965110573,1.3311668496973534,-0.33964828797427205,Low
132,1.420296229421998,0.7337266795031969,-0.6268234893847442,-1.5590415312242274,0.5855204321742458,1.5275252316519465,0.5034688478482017,0.4207050928200186,-0.007072384183651184,1,-1,-0.3986732965110573,0.9623834753163438,0.703491666793557,Low
80,-0.704078472704922,-1.1660498563108386,-0.4648352480536175,0.17189742137447636,0.00365820937633297,1.5275252316519465,0.007435968679122134,1.8208329770070857,1.1480836991460461,1,-1,-0.3986732965110573,1.4576631155844664,-1.0303804542510224,Low
84,-0.704078472704922,-0.9309818934992034,-0.3105607325001642,-0.23679649798910662,0.44690031439003663,1.5275252316519465,1.325466190471247,-0.046004201909003714,0.15794991343487702,1,-1,-0.3986732965110573,0.09515580097644478,1.2618270308747879,Low
32,-0.704078472704922,0.7070608671210069,-1.5375333010155932,-1.5590415312242274,0.8861492472865006,-0.6546536707079771,-1.798123711496327,-0.9794227913670484,-0.9972061698948204,1,-1,-0.3986732965110573,1.5414596050834173,-1.2044449601527631,Mid
